id,name,AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
21,Haemulon macrostomum,275728,https://www.marinespecies.org/aphia.php?p=taxdetails&id=275728,Haemulon macrostomum,"Günther, 1859",accepted,NA,220,Species,275728,Haemulon macrostomum,"Günther, 1859",158806,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Haemulon,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Haemulon macrostomum Günther, 1859. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=275728 on 2023-01-19",urn:lsid:marinespecies.org:taxname:275728,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
22,Haemulon flavolineatum,275727,https://www.marinespecies.org/aphia.php?p=taxdetails&id=275727,Haemulon flavolineatum,"(Desmarest, 1823)",accepted,NA,220,Species,275727,Haemulon flavolineatum,"(Desmarest, 1823)",158806,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Haemulon,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Haemulon flavolineatum (Desmarest, 1823). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=275727 on 2023-01-19",urn:lsid:marinespecies.org:taxname:275727,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
23,Haemulon plumierii,158808,https://www.marinespecies.org/aphia.php?p=taxdetails&id=158808,Haemulon plumierii,"(Lacepède, 1801)",accepted,NA,220,Species,158808,Haemulon plumierii,"(Lacepède, 1801)",158806,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Haemulon,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Haemulon plumierii (Lacepède, 1801). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=158808 on 2023-01-19",urn:lsid:marinespecies.org:taxname:158808,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
24,Haemulon aurolineatum,158807,https://www.marinespecies.org/aphia.php?p=taxdetails&id=158807,Haemulon aurolineatum,"Cuvier, 1830",accepted,NA,220,Species,158807,Haemulon aurolineatum,"Cuvier, 1830",158806,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Haemulon,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Haemulon aurolineatum Cuvier, 1830. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=158807 on 2023-01-19",urn:lsid:marinespecies.org:taxname:158807,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
25,Haemulon carbonarium,275724,https://www.marinespecies.org/aphia.php?p=taxdetails&id=275724,Haemulon carbonarium,"Poey, 1860",accepted,NA,220,Species,275724,Haemulon carbonarium,"Poey, 1860",158806,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Haemulon,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Haemulon carbonarium Poey, 1860. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=275724 on 2023-01-19",urn:lsid:marinespecies.org:taxname:275724,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
26,Lutjanus cyanopterus,159796,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159796,Lutjanus cyanopterus,"(Cuvier, 1828)",accepted,NA,220,Species,159796,Lutjanus cyanopterus,"(Cuvier, 1828)",159791,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Lutjanidae,Lutjanus,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Lutjanus cyanopterus (Cuvier, 1828). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159796 on 2023-01-19",urn:lsid:marinespecies.org:taxname:159796,1,1,0,0,NA,exact,2008-01-15T17:27:08.177Z
27,Lutjanus synagris,159800,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159800,Lutjanus synagris,"(Linnaeus, 1758)",accepted,NA,220,Species,159800,Lutjanus synagris,"(Linnaeus, 1758)",159791,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Lutjanidae,Lutjanus,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Lutjanus synagris (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159800 on 2023-01-19",urn:lsid:marinespecies.org:taxname:159800,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
28,Haemulon steindachneri,275738,https://www.marinespecies.org/aphia.php?p=taxdetails&id=275738,Haemulon steindachneri,"(Jordan & Gilbert, 1882)",accepted,NA,220,Species,275738,Haemulon steindachneri,"(Jordan & Gilbert, 1882)",158806,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Haemulon,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Haemulon steindachneri (Jordan & Gilbert, 1882). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=275738 on 2023-01-19",urn:lsid:marinespecies.org:taxname:275738,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
29,Anisotremus virginicus,279625,https://www.marinespecies.org/aphia.php?p=taxdetails&id=279625,Anisotremus virginicus,"(Linnaeus, 1758)",accepted,NA,220,Species,279625,Anisotremus virginicus,"(Linnaeus, 1758)",268319,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Anisotremus,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Anisotremus virginicus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279625 on 2023-01-19",urn:lsid:marinespecies.org:taxname:279625,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
30,Lutjanus griseus,159797,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159797,Lutjanus griseus,"(Linnaeus, 1758)",accepted,NA,220,Species,159797,Lutjanus griseus,"(Linnaeus, 1758)",159791,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Lutjanidae,Lutjanus,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Lutjanus griseus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159797 on 2023-01-19",urn:lsid:marinespecies.org:taxname:159797,1,1,1,0,NA,exact,2008-01-15T17:27:08.177Z
31,Lutjanus apodus,159793,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159793,Lutjanus apodus,"(Walbaum, 1792)",accepted,NA,220,Species,159793,Lutjanus apodus,"(Walbaum, 1792)",159791,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Lutjanidae,Lutjanus,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Lutjanus apodus (Walbaum, 1792). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159793 on 2023-01-19",urn:lsid:marinespecies.org:taxname:159793,1,1,0,0,NA,exact,2008-01-15T17:27:08.177Z
32,Lutjanus analis,159792,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159792,Lutjanus analis,"(Cuvier, 1828)",accepted,NA,220,Species,159792,Lutjanus analis,"(Cuvier, 1828)",159791,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Lutjanidae,Lutjanus,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Lutjanus analis (Cuvier, 1828). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159792 on 2023-01-19",urn:lsid:marinespecies.org:taxname:159792,1,1,0,0,NA,exact,2008-01-15T17:27:08.177Z
