name,AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
Harpiliopsis depressa ,220131,https://www.marinespecies.org/aphia.php?p=taxdetails&id=220131,Harpiliopsis depressa,"(Stimpson, 1860)",accepted,NA,220,Species,220131,Harpiliopsis depressa,"(Stimpson, 1860)",204789,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Harpiliopsis,"WoRMS (2023). Harpiliopsis depressa (Stimpson, 1860). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=220131 on 2023-01-18",urn:lsid:marinespecies.org:taxname:220131,1,0,0,0,NA,exact,2022-05-19T08:15:07.733Z
Alpheus lottini,210544,https://www.marinespecies.org/aphia.php?p=taxdetails&id=210544,Alpheus lottini,"Guérin, 1829",accepted,NA,220,Species,210544,Alpheus lottini,"Guérin, 1829",106978,Animalia,Arthropoda,Malacostraca,Decapoda,Alpheidae,Alpheus,"WoRMS (2023). Alpheus lottini Guérin, 1829. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=210544 on 2023-01-18",urn:lsid:marinespecies.org:taxname:210544,1,0,0,0,0,exact,2022-06-30T12:37:24.103Z
Diadema mexicanum ,513223,https://www.marinespecies.org/aphia.php?p=taxdetails&id=513223,Diadema mexicanum,"A. Agassiz, 1863",accepted,NA,220,Species,513223,Diadema mexicanum,"A. Agassiz, 1863",123395,Animalia,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Diadema,"Kroh, A.; Mooi, R. (2023). World Echinoidea Database. Diadema mexicanum A. Agassiz, 1863. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=513223 on 2023-01-18",urn:lsid:marinespecies.org:taxname:513223,1,0,0,0,0,exact,2013-08-26T18:24:18.240Z
Eucidaris thouarsii ,513266,https://www.marinespecies.org/aphia.php?p=taxdetails&id=513266,Eucidaris thouarsii,"(L. Agassiz & Desor, 1846)",accepted,NA,220,Species,513266,Eucidaris thouarsii,"(L. Agassiz & Desor, 1846)",204525,Animalia,Echinodermata,Echinoidea,Cidaroida,Cidaridae,Eucidaris,"Kroh, A.; Mooi, R. (2023). World Echinoidea Database. Eucidaris thouarsii (L. Agassiz & Desor, 1846). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=513266 on 2023-01-18",urn:lsid:marinespecies.org:taxname:513266,1,0,0,0,0,exact,2013-08-26T18:24:18.240Z
Echinometra vanbrunti,513244,https://www.marinespecies.org/aphia.php?p=taxdetails&id=513244,Echinometra vanbrunti,"A. Agassiz, 1863",accepted,NA,220,Species,513244,Echinometra vanbrunti,"A. Agassiz, 1863",179659,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,"Kroh, A.; Mooi, R. (2023). World Echinoidea Database. Echinometra vanbrunti A. Agassiz, 1863. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=513244 on 2023-01-18",urn:lsid:marinespecies.org:taxname:513244,1,0,0,0,0,exact,2013-08-26T18:24:18.240Z
Lytechinus semituberculatus,513379,https://www.marinespecies.org/aphia.php?p=taxdetails&id=513379,Lytechinus semituberculatus,"(Valenciennes in L. Agassiz, 1846)",accepted,NA,220,Species,513379,Lytechinus semituberculatus,"(Valenciennes in L. Agassiz, 1846)",240777,Animalia,Echinodermata,Echinoidea,Camarodonta,Toxopneustidae,Lytechinus,"Kroh, A.; Mooi, R. (2023). World Echinoidea Database. Lytechinus semituberculatus (Valenciennes in L. Agassiz, 1846). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=513379 on 2023-01-18",urn:lsid:marinespecies.org:taxname:513379,1,0,0,0,0,exact,2013-08-26T18:24:18.240Z
Acanthaster planci,213289,https://www.marinespecies.org/aphia.php?p=taxdetails&id=213289,Acanthaster planci,"(Linnaeus, 1758)",accepted,NA,220,Species,213289,Acanthaster planci,"(Linnaeus, 1758)",205212,Animalia,Echinodermata,Asteroidea,Valvatida,Acanthasteridae,Acanthaster,"Mah, C.L. (2023). World Asteroidea Database. Acanthaster planci (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=213289 on 2023-01-18",urn:lsid:marinespecies.org:taxname:213289,1,0,0,0,0,exact,2009-01-30T03:03:03Z
Tripneustes depressus,513619,https://www.marinespecies.org/aphia.php?p=taxdetails&id=513619,Tripneustes depressus,"A. Agassiz, 1863",accepted,NA,220,Species,513619,Tripneustes depressus,"A. Agassiz, 1863",206063,Animalia,Echinodermata,Echinoidea,Camarodonta,Toxopneustidae,Tripneustes,"Kroh, A.; Mooi, R. (2023). World Echinoidea Database. Tripneustes depressus A. Agassiz, 1863. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=513619 on 2023-01-18",urn:lsid:marinespecies.org:taxname:513619,1,0,0,0,0,exact,2013-08-26T18:24:18.240Z
Hymenocera picta,210554,https://www.marinespecies.org/aphia.php?p=taxdetails&id=210554,Hymenocera picta,"Dana, 1852",accepted,NA,220,Species,210554,Hymenocera picta,"Dana, 1852",204637,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Hymenocera,"WoRMS (2023). Hymenocera picta Dana, 1852. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=210554 on 2023-01-18",urn:lsid:marinespecies.org:taxname:210554,1,0,0,0,0,exact,2022-05-12T07:21:32.760Z
Pentaceraster cumingi,370899,https://www.marinespecies.org/aphia.php?p=taxdetails&id=370899,Pentaceraster cumingi,"(Gray, 1840)",accepted,NA,220,Species,370899,Pentaceraster cumingi,"(Gray, 1840)",204070,Animalia,Echinodermata,Asteroidea,Valvatida,Oreasteridae,Pentaceraster,"Mah, C.L. (2023). World Asteroidea Database. Pentaceraster cumingi (Gray, 1840). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=370899 on 2023-01-18",urn:lsid:marinespecies.org:taxname:370899,1,0,0,0,0,exact,2008-12-07T02:46:14.620Z
Coralliophila violacea,208125,https://www.marinespecies.org/aphia.php?p=taxdetails&id=208125,Coralliophila violacea,"(Kiener, 1836)",accepted,NA,220,Species,208125,Coralliophila violacea,"(Kiener, 1836)",137837,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Coralliophila,"MolluscaBase eds. (2023). MolluscaBase. Coralliophila violacea (Kiener, 1836). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=208125 on 2023-01-18",urn:lsid:marinespecies.org:taxname:208125,1,NA,NA,NA,NA,exact,2010-12-04T07:34:51.997Z
Jenneria pustulata,437164,https://www.marinespecies.org/aphia.php?p=taxdetails&id=437164,Jenneria pustulata,"([Lightfoot], 1786)",accepted,NA,220,Species,437164,Jenneria pustulata,"([Lightfoot], 1786)",437163,Animalia,Mollusca,Gastropoda,Littorinimorpha,Pediculariidae,Jenneria,"MolluscaBase eds. (2023). MolluscaBase. Jenneria pustulata ([Lightfoot], 1786). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=437164 on 2023-01-18",urn:lsid:marinespecies.org:taxname:437164,1,NA,NA,NA,NA,exact,2011-04-05T21:11:05.740Z
