id,name,AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
41,Plagiotremus azaleus,278234,https://www.marinespecies.org/aphia.php?p=taxdetails&id=278234,Plagiotremus azaleus,"(Jordan & Bollman, 1890)",accepted,NA,220,Species,278234,Plagiotremus azaleus,"(Jordan & Bollman, 1890)",205546,Animalia,Chordata,Teleostei,Blenniiformes,Blenniidae,Plagiotremus,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Plagiotremus azaleus (Jordan & Bollman, 1890). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=278234 on 2023-01-20",urn:lsid:marinespecies.org:taxname:278234,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
42,Halichoeres nicholsi,275780,https://www.marinespecies.org/aphia.php?p=taxdetails&id=275780,Halichoeres nicholsi,"(Jordan & Gilbert, 1882)",accepted,NA,220,Species,275780,Halichoeres nicholsi,"(Jordan & Gilbert, 1882)",158813,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Halichoeres,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Halichoeres nicholsi (Jordan & Gilbert, 1882). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=275780 on 2023-01-20",urn:lsid:marinespecies.org:taxname:275780,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
43,Iniistius pavo,219004,https://www.marinespecies.org/aphia.php?p=taxdetails&id=219004,Iniistius pavo,"(Valenciennes, 1840)",accepted,NA,220,Species,219004,Iniistius pavo,"(Valenciennes, 1840)",206311,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Iniistius,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Iniistius pavo (Valenciennes, 1840). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=219004 on 2023-01-20",urn:lsid:marinespecies.org:taxname:219004,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
44,Prionurus laticlavius,282346,https://www.marinespecies.org/aphia.php?p=taxdetails&id=282346,Prionurus laticlavius,"(Valenciennes, 1846)",accepted,NA,220,Species,282346,Prionurus laticlavius,"(Valenciennes, 1846)",270505,Animalia,Chordata,Teleostei,Acanthuriformes,Acanthuridae,Prionurus,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Prionurus laticlavius (Valenciennes, 1846). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=282346 on 2023-01-20",urn:lsid:marinespecies.org:taxname:282346,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
45,Canthigaster punctatissima,275264,https://www.marinespecies.org/aphia.php?p=taxdetails&id=275264,Canthigaster punctatissima,"(Günther, 1870)",accepted,NA,220,Species,275264,Canthigaster punctatissima,"(Günther, 1870)",126238,Animalia,Chordata,Teleostei,Tetraodontiformes,Tetraodontidae,Canthigaster,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Canthigaster punctatissima (Günther, 1870). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=275264 on 2023-01-20",urn:lsid:marinespecies.org:taxname:275264,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
46,Pseudobalistes naufragium,279161,https://www.marinespecies.org/aphia.php?p=taxdetails&id=279161,Pseudobalistes naufragium,"(Jordan & Starks, 1895)",accepted,NA,220,Species,279161,Pseudobalistes naufragium,"(Jordan & Starks, 1895)",206762,Animalia,Chordata,Teleostei,Tetraodontiformes,Balistidae,Pseudobalistes,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Pseudobalistes naufragium (Jordan & Starks, 1895). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279161 on 2023-01-20",urn:lsid:marinespecies.org:taxname:279161,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
47,Sufflamen verres,276853,https://www.marinespecies.org/aphia.php?p=taxdetails&id=276853,Sufflamen verres,"(Gilbert & Starks, 1904)",accepted,NA,220,Species,276853,Sufflamen verres,"(Gilbert & Starks, 1904)",203929,Animalia,Chordata,Teleostei,Tetraodontiformes,Balistidae,Sufflamen,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Sufflamen verres (Gilbert & Starks, 1904). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=276853 on 2023-01-20",urn:lsid:marinespecies.org:taxname:276853,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
48,Myripristis berndti,217927,https://www.marinespecies.org/aphia.php?p=taxdetails&id=217927,Myripristis berndti,"Jordan & Evermann, 1903",accepted,NA,220,Species,217927,Myripristis berndti,"Jordan & Evermann, 1903",159383,Animalia,Chordata,Teleostei,Holocentriformes,Holocentridae,Myripristis,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Myripristis berndti Jordan & Evermann, 1903. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=217927 on 2023-01-20",urn:lsid:marinespecies.org:taxname:217927,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
49,Mulloidichthys dentatus,277990,https://www.marinespecies.org/aphia.php?p=taxdetails&id=277990,Mulloidichthys dentatus,"(Gill, 1862)",accepted,NA,220,Species,277990,Mulloidichthys dentatus,"(Gill, 1862)",205210,Animalia,Chordata,Teleostei,Mulliformes,Mullidae,Mulloidichthys,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Mulloidichthys dentatus (Gill, 1862). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=277990 on 2023-01-20",urn:lsid:marinespecies.org:taxname:277990,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
50,Fistularia commersonii,217966,https://www.marinespecies.org/aphia.php?p=taxdetails&id=217966,Fistularia commersonii,"Rüppell, 1838",accepted,NA,220,Species,217966,Fistularia commersonii,"Rüppell, 1838",159438,Animalia,Chordata,Teleostei,Syngnathiformes,Fistulariidae,Fistularia,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Fistularia commersonii Rüppell, 1838. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=217966 on 2023-01-20",urn:lsid:marinespecies.org:taxname:217966,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
